document_id,set,kind,story_url,story_file_size,wiki_url,wiki_title,story_word_count,story_start,story_end
0025577043f5090cd603c6aea60f26e236195594,test,movie,http://www.awesomefilm.com/script/pumpupthevolume.html,54078,http://en.wikipedia.org/wiki/Pump_Up_the_Volume_(film),Pump Up the Volume (film),11499,Happy Harry Hardon,by Martin Eaves
0029bdbe75423337b551e42bb31f9a102785376f,train,gutenberg,http://www.gutenberg.org/ebooks/21572.txt.utf-8,814507,http://en.wikipedia.org/wiki/Percival_Keene,Percival Keene,173334,Produced by Nick,new eBooks .
00936497f5884881f1df23f4834f6739552cee8b,train,gutenberg,http://www.gutenberg.org/ebooks/3526.txt.utf-8,566874,http://en.wikipedia.org/wiki/Five_Weeks_in_a_Balloon,Five Weeks in a Balloon,112898,Produced by Judy,new eBooks .
00950a3641e6a28b04a6fabf6334140e2deaa9fd,train,gutenberg,http://www.gutenberg.org/ebooks/42188.txt.utf-8,90192,http://en.wikipedia.org/wiki/Shadows_in_the_Moonlight_(story),Shadows in the Moonlight (story),17670,Produced by Greg,new eBooks .
00ee9e01a0e581e0d8cbf7e865a895147c480c5e,train,movie,http://www.imsdb.com/scripts/Crank.html,309143,http://en.wikipedia.org/wiki/Crank_(film),Crank (film),27546,CRANK Written by,TO SOUNDTRACK .
00f9dbb0a851bc6099d5216e5fa8719b2ac3b82b,train,movie,http://www.imsdb.com/scripts/Bull-Durham.html,277614,http://en.wikipedia.org/wiki/Bull_Durham,Bull Durham,29472,BULL DURHAM by,. THE END
00fb61fa7bee266ad995e52190ebb73606b60b70,valid,gutenberg,http://www.gutenberg.org/ebooks/3771.txt.utf-8,372868,http://en.wikipedia.org/wiki/Cynthia's_Revels,Cynthia's Revels,74928,Produced by Sue,new eBooks .
014de1a8802c05ff64efa047e9290fb7fccea2b4,test,gutenberg,http://www.gutenberg.org/ebooks/1329.txt.utf-8,560685,http://en.wikipedia.org/wiki/A_Voyage_to_Arcturus,A Voyage to Arcturus,113790,Produced by An,new eBooks .
01502137e4276712d118bd4bdaf481c89aed163b,valid,movie,http://www.imsdb.com/scripts/Fighter%2C-The.html,249412,http://en.wikipedia.org/wiki/The_Fighter,The Fighter,32202,THE FIGHTER Written,in Lowell ...
015c99b411cef291d31cd5543c7ae957edebe6b4,train,movie,http://www.imsdb.com/scripts/Star-Trek-Nemesis.html,188385,http://en.wikipedia.org/wiki/Star_Trek:_Nemesis,Star Trek: Nemesis,26090,if ( window,FADE OUT .
019a9611dd8e1b822bd0a58f075cc4a30bdd0797,test,gutenberg,http://www.gutenberg.org/ebooks/26348.txt.utf-8,206867,http://en.wikipedia.org/wiki/Lisbeth_Longfrock,Lisbeth Longfrock,41580,Produced by Chris,new eBooks .
01a4a870914fd148e2fd4e55ccbc9a3595f6bab6,train,movie,http://www.imsdb.com/scripts/Doors%2C-The.html,402703,http://en.wikipedia.org/wiki/The_Doors_(film),The Doors (film),46163,THE DOORS Screenplay,LONG THE END
01aa10d75658840a478ede17631dba875651c370,train,gutenberg,http://www.gutenberg.org/files/19286/19286-0.txt,66344,http://en.wikipedia.org/wiki/The_Promise_of_World_Peace,The Promise of World Peace,11296,The Promise of,eBooks . ***FINIS***
01dd08c2a57dca20d4925177a4b4de509fdf71fb,train,movie,http://www.imsdb.com/scripts/Zero-Dark-Thirty.html,220654,http://en.wikipedia.org/wiki/Zero_Dark_Thirty,Zero Dark Thirty,26698,ZERO DARK THIRTY,TO : BLACK
01f5ab49ace7ff6c2bca8c2e537076ae1f1b5c90,train,gutenberg,http://www.gutenberg.org/ebooks/3268.txt.utf-8,1730392,http://en.wikipedia.org/wiki/The_Mysteries_of_Udolpho,The Mysteries of Udolpho,352033,Produced by Karalee,new eBooks .
020773a0ca71155173ec4affe6a2496a6cb45216,test,movie,http://www.imsdb.com/scripts/Up-in-the-Air.html,265642,http://en.wikipedia.org/wiki/Up_in_the_Air_(1940_film),Up in the Air (1940 film),25286,UP IN THE,CUT TO CLOUDS
0207a55a2d507f3b4feb99b227751b76f88ddd53,train,movie,http://www.imsdb.com/scripts/Cast-Away.html,200885,http://en.wikipedia.org/wiki/Cast_Away,Cast Away,32968,if ( window,FADE OUT .
02476285f0673b06c7754deed4517e54c50c42b5,train,gutenberg,http://www.gutenberg.org/ebooks/15575.txt.utf-8,36044,http://en.wikipedia.org/wiki/The_Tale_of_Samuel_Whiskers_or_The_Roly-Poly_Pudding,The Tale of Samuel Whiskers or The Roly-Poly Pudding,6522,E-text prepared by,new eBooks .
026723e23a4f1b279e20d9d2d3746a1dc4543b2d,train,gutenberg,http://www.gutenberg.org/ebooks/2663.txt.utf-8,177122,http://en.wikipedia.org/wiki/Minna_von_Barnhelm,Minna von Barnhelm,37932,Produced by Dagny,new eBooks .
0269408ac78193a0e13f1033bec6f658b00437b3,test,movie,http://www.imsdb.com/scripts/12.html,211326,http://en.wikipedia.org/wiki/12_(2003_film),12 (2003 film),16807,12 - Script,She releases .
02eb19e46391a42912c60b7d0a072fc8684dfbd6,test,gutenberg,http://www.gutenberg.org/ebooks/37189.txt.utf-8,184426,http://en.wikipedia.org/wiki/The_Return_of_the_Soldier,The Return of the Soldier,37107,Produced by Chuck,new eBooks .
02ec0dda4d6b545c8a180b4e66108f32acc7fefa,train,gutenberg,http://www.gutenberg.org/ebooks/31619.txt.utf-8,177521,http://en.wikipedia.org/wiki/The_Planet_Savers,The Planet Savers,35789,Produced by Greg,new eBooks .
032bcfd170a98fb5ed752c1d25b678b8589de7d7,train,movie,http://www.imsdb.com/scripts/Being-There.html,175351,http://en.wikipedia.org/wiki/Being_There,Being There,31611,if ( window,. THE END
033a2dae1f69467127ee67acdf39fa97c031c57b,train,movie,http://www.imsdb.com/scripts/127-Hours.html,187720,http://en.wikipedia.org/wiki/127_Hours,127 Hours,22613,127 HOURS Written,. THE END
03690ff2154ebecb454ea267cec529358ab6923b,test,gutenberg,http://www.gutenberg.org/ebooks/5247.txt.utf-8,1289852,http://en.wikipedia.org/wiki/The_Old_Wives'_Tale,The Old Wives' Tale,257785,Produced by Charles,new eBooks .
03a048c35b81d8a422e0efd0d5de016b63659869,train,gutenberg,http://www.gutenberg.org/ebooks/4017.txt.utf-8,404208,http://en.wikipedia.org/wiki/The_Hollow_Needle,The Hollow Needle,82092,Produced by Charles,new eBooks .
